NU_ANO_CENSO;CO_IES;CO_CURSO;NO_CURSO;CO_CINE_AREA_GERAL;NO_CINE_AREA_GERAL;NO_CINE_ROTULO;TP_GRAU_ACADEMICO;TP_MODALIDADE_ENSINO;TP_DIMENSAO;NO_REGIAO;SG_UF;NO_MUNICIPIO;QT_VG_TOTAL;QT_INSCRITO_TOTAL;QT_ING;QT_MAT;QT_CONC
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;2;Centro-Oeste;GO;Itumbiara;0;0;0;1;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Jaraguá;0;0;0;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Jataí;0;0;0;0;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Jataí;0;0;0;1;0
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;2;Centro-Oeste;GO;Jataí;0;0;1;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Jussara;0;0;1;2;2
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;2;Centro-Oeste;GO;Jussara;0;0;2;5;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Jussara;0;0;0;1;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Luziânia;0;0;7;10;4
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Luziânia;0;0;3;3;1
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;GO;Luziânia;0;0;1;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Morrinhos;0;0;0;2;2
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Morrinhos;0;0;0;0;0
